call_id,lead_id,operator,date,direction,duration_sec,outcome,score,stage
C00001,L0295,Lola Qodirova,2025-12-13,in,460,enrolled,95,needs
C00002,L0509,Sardor Yusufov,2026-03-06,in,711,interested,75,needs
C00003,L0109,Sardor Yusufov,2025-11-13,in,239,interested,82,close
C00004,L0427,Sardor Yusufov,2026-01-16,in,331,no_answer,20,close
C00005,L0832,Lola Qodirova,2026-04-11,out,782,refused,37,needs
C00006,L0680,Jamshid Umarov,2026-04-29,in,463,interested,87,close
C00007,L0804,Sherzod Nishonov,2026-06-05,out,721,enrolled,92,close
C00008,L0395,Sherzod Nishonov,2026-02-12,out,461,interested,58,opening
C00009,L0005,Jamshid Umarov,2025-10-27,in,775,enrolled,97,pitch
C00010,L0699,Botir Nazarov,2026-05-08,out,288,no_answer,26,opening
C00011,L0351,Dilnoza Karimova,2026-01-05,out,489,interested,86,close
C00012,L0862,Dilnoza Karimova,2026-04-04,out,49,interested,78,close
C00013,L0556,Diyora Rustamova,2026-03-09,out,200,interested,89,pitch
C00014,L0136,Botir Nazarov,2025-11-07,out,641,callback,57,opening
C00015,L0966,Farrux Ahmadov,2026-06-28,out,51,refused,27,needs
C00016,L0783,Lola Qodirova,2026-05-03,out,895,refused,30,needs
C00017,L0994,Farrux Ahmadov,2026-07-15,out,138,refused,12,needs
C00018,L0145,Diyora Rustamova,2025-11-18,in,879,callback,60,needs
C00019,L0679,Farrux Ahmadov,2026-03-02,out,489,callback,55,pitch
C00020,L0804,Sherzod Nishonov,2026-04-17,out,117,no_answer,17,needs
C00021,L0419,Dilnoza Karimova,2026-02-19,out,30,interested,79,opening
C00022,L0443,Lola Qodirova,2026-02-22,in,736,enrolled,100,close
C00023,L0670,Botir Nazarov,2026-04-12,out,143,callback,29,needs
C00024,L1154,Sardor Yusufov,2026-08-16,out,443,callback,34,opening
C00025,L0257,Botir Nazarov,2025-12-30,out,158,interested,80,opening
C00026,L0270,Diyora Rustamova,2026-01-03,in,468,interested,56,needs
C00027,L0112,Lola Qodirova,2025-09-17,in,717,no_answer,16,opening
C00028,L0636,Diyora Rustamova,2026-03-22,in,896,interested,82,opening
C00029,L0001,Farrux Ahmadov,2025-09-16,out,592,no_answer,15,opening
C00030,L0374,Sardor Yusufov,2026-02-03,out,809,refused,11,opening
C00031,L0846,Sardor Yusufov,2026-05-02,in,599,enrolled,73,opening
C00032,L0832,Diyora Rustamova,2026-05-02,in,640,refused,34,needs
C00033,L0761,Botir Nazarov,2026-03-18,in,172,refused,16,needs
C00034,L1072,Diyora Rustamova,2026-08-07,out,445,refused,28,close
C00035,L0545,Sardor Yusufov,2026-01-22,in,864,enrolled,88,close
C00036,L0358,Botir Nazarov,2025-12-13,in,724,enrolled,95,close
C00037,L0828,Lola Qodirova,2026-06-06,out,648,enrolled,97,opening
C00038,L1178,Lola Qodirova,2026-08-29,out,732,interested,71,close
C00039,L1073,Jamshid Umarov,2026-08-22,in,110,interested,79,needs
C00040,L0650,Jamshid Umarov,2026-03-31,in,873,no_answer,20,pitch
C00041,L0472,Sherzod Nishonov,2026-01-16,out,729,no_answer,2,pitch
C00042,L0115,Sardor Yusufov,2025-10-04,out,336,callback,42,close
C00043,L0526,Diyora Rustamova,2026-01-21,out,403,callback,62,close
C00044,L0157,Lola Qodirova,2025-11-19,in,217,callback,74,needs
C00045,L0060,Diyora Rustamova,2025-10-07,in,856,interested,75,needs
C00046,L0341,Dilnoza Karimova,2026-01-08,out,763,no_answer,9,opening
C00047,L0317,Sherzod Nishonov,2025-12-01,in,60,refused,57,pitch
C00048,L0459,Farrux Ahmadov,2026-03-01,in,830,callback,56,opening
C00049,L0105,Jamshid Umarov,2025-09-05,in,809,callback,43,pitch
C00050,L0184,Diyora Rustamova,2025-10-31,in,715,callback,50,needs
C00051,L1088,Lola Qodirova,2026-08-23,in,494,interested,75,needs
C00052,L0947,Farrux Ahmadov,2026-07-20,out,149,no_answer,17,close
C00053,L1150,Dilnoza Karimova,2026-08-22,in,624,no_answer,20,opening
C00054,L0625,Sardor Yusufov,2026-03-22,in,556,interested,53,pitch
C00055,L0338,Sherzod Nishonov,2025-12-03,in,326,interested,82,opening
C00056,L0645,Farrux Ahmadov,2026-02-18,in,434,no_answer,7,opening
C00057,L0427,Diyora Rustamova,2026-02-20,out,731,interested,74,pitch
C00058,L1076,Diyora Rustamova,2026-08-19,out,520,callback,72,needs
C00059,L0507,Botir Nazarov,2026-02-03,in,387,interested,73,needs
C00060,L0021,Lola Qodirova,2025-10-14,in,20,refused,20,needs
C00061,L0054,Jamshid Umarov,2025-11-05,out,642,no_answer,22,pitch
C00062,L0537,Diyora Rustamova,2026-03-06,out,337,refused,23,opening
C00063,L1081,Dilnoza Karimova,2026-08-20,out,239,callback,61,opening
C00064,L0087,Sardor Yusufov,2025-09-19,in,22,callback,68,needs
C00065,L0916,Jamshid Umarov,2026-06-14,in,362,callback,68,pitch
C00066,L0752,Sherzod Nishonov,2026-04-28,out,297,refused,31,close
C00067,L0210,Jamshid Umarov,2025-10-26,out,824,no_answer,14,needs
C00068,L0133,Jamshid Umarov,2025-12-08,out,393,interested,67,opening
C00069,L0279,Farrux Ahmadov,2025-11-24,out,769,refused,22,opening
C00070,L0356,Farrux Ahmadov,2026-01-14,in,432,interested,87,opening
C00071,L0998,Dilnoza Karimova,2026-08-28,in,860,refused,40,close
C00072,L0397,Lola Qodirova,2025-12-16,in,130,no_answer,3,close
C00073,L0072,Botir Nazarov,2025-11-02,out,605,no_answer,6,needs
C00074,L1031,Botir Nazarov,2026-07-20,out,557,enrolled,94,close
C00075,L0427,Farrux Ahmadov,2026-02-17,in,638,enrolled,100,needs
C00076,L0070,Farrux Ahmadov,2025-09-03,out,646,callback,34,needs
C00077,L0436,Sherzod Nishonov,2026-02-17,out,730,enrolled,87,close
C00078,L1048,Dilnoza Karimova,2026-07-09,in,227,enrolled,89,opening
C00079,L0559,Dilnoza Karimova,2026-03-18,in,508,no_answer,9,needs
C00080,L0569,Diyora Rustamova,2026-02-13,out,292,no_answer,9,pitch
C00081,L0538,Diyora Rustamova,2026-03-08,out,364,no_answer,0,opening
C00082,L0562,Botir Nazarov,2026-03-27,out,252,enrolled,79,needs
C00083,L0312,Jamshid Umarov,2025-12-09,out,447,refused,25,needs
C00084,L0151,Jamshid Umarov,2025-11-22,out,190,refused,26,close
C00085,L0635,Diyora Rustamova,2026-03-04,out,458,interested,81,pitch
C00086,L0769,Sardor Yusufov,2026-03-30,out,658,interested,63,opening
C00087,L0888,Botir Nazarov,2026-06-13,out,619,interested,77,needs
C00088,L0972,Diyora Rustamova,2026-06-12,out,579,no_answer,9,pitch
C00089,L0854,Lola Qodirova,2026-05-08,out,527,interested,85,pitch
C00090,L0810,Lola Qodirova,2026-05-15,out,812,callback,62,opening
C00091,L0694,Diyora Rustamova,2026-05-06,in,204,interested,57,needs
C00092,L0115,Jamshid Umarov,2025-11-03,in,465,refused,27,pitch
C00093,L0196,Sherzod Nishonov,2025-10-26,in,434,enrolled,82,needs
C00094,L1135,Diyora Rustamova,2026-08-08,in,392,refused,15,opening
C00095,L1168,Botir Nazarov,2026-08-30,out,394,callback,55,opening
C00096,L0358,Jamshid Umarov,2025-12-07,out,281,refused,56,opening
C00097,L0264,Diyora Rustamova,2025-11-30,out,287,no_answer,23,close
C00098,L0003,Dilnoza Karimova,2025-11-21,in,766,enrolled,84,needs
C00099,L0275,Sardor Yusufov,2025-11-25,in,715,interested,73,needs
C00100,L0128,Sherzod Nishonov,2025-10-09,out,368,refused,33,needs
C00101,L1118,Dilnoza Karimova,2026-08-31,out,240,refused,49,opening
C00102,L0115,Jamshid Umarov,2025-10-10,out,227,interested,75,needs
C00103,L0015,Botir Nazarov,2025-10-30,out,445,no_answer,23,needs
C00104,L0897,Botir Nazarov,2026-05-27,out,720,no_answer,20,close
C00105,L0974,Sardor Yusufov,2026-07-02,out,894,refused,41,opening
C00106,L1174,Jamshid Umarov,2026-08-08,out,812,callback,52,close
C00107,L0387,Farrux Ahmadov,2026-01-20,in,342,refused,28,pitch
C00108,L1094,Sardor Yusufov,2026-08-02,in,533,enrolled,89,pitch
C00109,L0427,Farrux Ahmadov,2025-12-27,out,163,refused,23,needs
C00110,L0586,Sardor Yusufov,2026-04-05,out,543,interested,72,opening
C00111,L0345,Sardor Yusufov,2026-02-17,out,808,refused,40,opening
C00112,L0870,Farrux Ahmadov,2026-06-13,in,632,refused,31,opening
C00113,L0991,Farrux Ahmadov,2026-07-18,out,627,refused,38,opening
C00114,L0085,Jamshid Umarov,2025-10-23,out,161,no_answer,3,close
C00115,L0813,Farrux Ahmadov,2026-05-12,out,509,no_answer,9,pitch
C00116,L0813,Farrux Ahmadov,2026-06-23,out,696,interested,79,close
C00117,L0246,Botir Nazarov,2025-12-20,out,315,interested,66,pitch
C00118,L0273,Jamshid Umarov,2025-12-31,out,173,interested,71,pitch
C00119,L1125,Lola Qodirova,2026-08-22,out,392,no_answer,11,needs
C00120,L0788,Diyora Rustamova,2026-06-11,in,250,refused,38,pitch
C00121,L0269,Farrux Ahmadov,2025-12-18,out,399,callback,46,needs
C00122,L0172,Lola Qodirova,2025-11-09,out,75,no_answer,8,opening
C00123,L0562,Jamshid Umarov,2026-03-31,out,220,callback,41,pitch
C00124,L0090,Sardor Yusufov,2025-09-17,out,789,no_answer,14,pitch
C00125,L0998,Jamshid Umarov,2026-07-25,out,855,interested,66,needs
C00126,L0713,Lola Qodirova,2026-03-22,out,534,interested,73,close
C00127,L0271,Sherzod Nishonov,2025-12-15,out,447,refused,23,close
C00128,L0715,Dilnoza Karimova,2026-05-10,in,228,enrolled,76,needs
C00129,L0385,Jamshid Umarov,2026-02-05,out,891,enrolled,83,opening
C00130,L0051,Jamshid Umarov,2025-10-22,in,502,interested,73,close
C00131,L0865,Lola Qodirova,2026-05-31,in,580,no_answer,18,pitch
C00132,L1086,Lola Qodirova,2026-08-06,out,657,no_answer,0,opening
C00133,L0266,Jamshid Umarov,2026-01-17,out,634,interested,78,needs
C00134,L0865,Lola Qodirova,2026-05-16,out,893,callback,43,opening
C00135,L0511,Diyora Rustamova,2026-02-08,in,178,refused,23,opening
C00136,L0957,Botir Nazarov,2026-05-23,out,854,refused,31,opening
C00137,L0143,Dilnoza Karimova,2025-11-04,out,458,refused,23,opening
C00138,L0623,Farrux Ahmadov,2026-04-05,out,748,no_answer,10,pitch
C00139,L0842,Diyora Rustamova,2026-05-05,in,80,no_answer,17,close
C00140,L0099,Botir Nazarov,2025-11-01,out,792,interested,84,needs
C00141,L0008,Dilnoza Karimova,2025-11-10,out,179,callback,54,opening
C00142,L0697,Farrux Ahmadov,2026-05-28,out,750,enrolled,84,pitch
C00143,L0549,Diyora Rustamova,2026-03-02,out,466,interested,77,pitch
C00144,L0004,Dilnoza Karimova,2025-10-01,in,50,enrolled,93,opening
C00145,L0529,Sardor Yusufov,2026-03-21,out,703,no_answer,24,pitch
C00146,L0577,Lola Qodirova,2026-03-26,out,247,interested,92,pitch
C00147,L0477,Dilnoza Karimova,2026-01-27,out,848,callback,60,pitch
C00148,L0701,Diyora Rustamova,2026-03-05,out,457,no_answer,13,pitch
C00149,L0933,Sherzod Nishonov,2026-06-17,in,619,interested,72,needs
C00150,L1010,Dilnoza Karimova,2026-07-29,out,838,callback,68,close
C00151,L0729,Diyora Rustamova,2026-03-19,in,579,refused,9,opening
C00152,L0682,Farrux Ahmadov,2026-04-07,in,49,callback,73,pitch
C00153,L0222,Jamshid Umarov,2025-11-13,out,799,enrolled,75,opening
C00154,L0476,Lola Qodirova,2026-02-25,in,248,callback,38,needs
C00155,L1118,Diyora Rustamova,2026-08-31,in,46,no_answer,13,pitch
C00156,L0008,Farrux Ahmadov,2025-11-21,out,148,no_answer,20,needs
C00157,L0944,Diyora Rustamova,2026-05-23,in,109,callback,47,close
C00158,L0100,Diyora Rustamova,2025-10-27,in,276,interested,82,needs
C00159,L0671,Dilnoza Karimova,2026-03-30,out,285,no_answer,0,needs
C00160,L0794,Diyora Rustamova,2026-04-30,out,253,interested,69,pitch
C00161,L1173,Dilnoza Karimova,2026-08-31,out,268,interested,67,opening
C00162,L0741,Diyora Rustamova,2026-05-03,in,689,enrolled,95,pitch
C00163,L0167,Sherzod Nishonov,2025-11-06,out,323,refused,45,needs
C00164,L1044,Farrux Ahmadov,2026-06-27,out,234,refused,30,pitch
C00165,L0014,Jamshid Umarov,2025-09-27,out,723,no_answer,7,pitch
C00166,L0283,Lola Qodirova,2025-12-13,in,808,callback,48,pitch
C00167,L0292,Lola Qodirova,2026-01-04,out,364,refused,43,pitch
C00168,L1002,Farrux Ahmadov,2026-06-26,in,49,interested,71,needs
C00169,L0249,Dilnoza Karimova,2025-12-16,in,739,no_answer,17,needs
C00170,L0746,Farrux Ahmadov,2026-05-29,out,315,enrolled,100,opening
C00171,L1132,Sardor Yusufov,2026-08-23,in,807,no_answer,25,pitch
C00172,L0088,Dilnoza Karimova,2025-10-08,in,276,no_answer,7,needs
C00173,L0891,Sardor Yusufov,2026-07-15,out,283,callback,72,pitch
C00174,L0535,Dilnoza Karimova,2026-01-06,out,374,interested,68,opening
C00175,L1166,Jamshid Umarov,2026-08-23,out,732,interested,72,pitch
C00176,L0316,Sherzod Nishonov,2026-01-10,out,839,enrolled,93,pitch
C00177,L0982,Farrux Ahmadov,2026-07-16,out,483,enrolled,90,pitch
C00178,L0164,Botir Nazarov,2025-11-17,out,510,callback,55,opening
C00179,L0349,Lola Qodirova,2026-02-16,out,657,callback,64,opening
C00180,L1049,Sherzod Nishonov,2026-07-08,out,351,interested,94,pitch
C00181,L0124,Botir Nazarov,2025-10-30,out,844,no_answer,10,needs
C00182,L0781,Diyora Rustamova,2026-06-22,out,357,no_answer,30,needs
C00183,L0829,Diyora Rustamova,2026-05-05,out,853,refused,48,close
C00184,L0216,Sherzod Nishonov,2025-11-30,out,867,no_answer,9,opening
C00185,L0957,Jamshid Umarov,2026-06-13,out,550,interested,69,needs
C00186,L0025,Botir Nazarov,2025-10-11,in,555,no_answer,19,close
C00187,L0849,Diyora Rustamova,2026-05-10,in,317,interested,65,needs
C00188,L0409,Sardor Yusufov,2025-12-12,out,123,interested,63,pitch
C00189,L0366,Lola Qodirova,2025-12-16,in,513,no_answer,32,pitch
C00190,L0498,Diyora Rustamova,2026-03-10,out,497,no_answer,12,needs
C00191,L0219,Jamshid Umarov,2025-11-29,in,673,interested,64,close
C00192,L0516,Lola Qodirova,2026-03-08,out,517,refused,29,needs
C00193,L0924,Dilnoza Karimova,2026-06-27,out,474,callback,50,close
C00194,L0262,Dilnoza Karimova,2025-12-01,out,869,refused,35,needs
C00195,L0665,Sardor Yusufov,2026-03-24,out,454,refused,36,opening
C00196,L0277,Farrux Ahmadov,2025-12-09,out,779,interested,70,close
C00197,L0475,Botir Nazarov,2026-02-27,in,868,callback,74,needs
C00198,L0045,Jamshid Umarov,2025-11-13,out,800,callback,56,pitch
C00199,L0157,Farrux Ahmadov,2025-11-08,out,787,interested,93,opening
C00200,L0485,Dilnoza Karimova,2026-01-29,in,843,refused,30,opening
C00201,L0057,Sardor Yusufov,2025-09-28,in,215,enrolled,87,opening
C00202,L0396,Jamshid Umarov,2026-01-27,in,868,callback,58,needs
C00203,L0145,Jamshid Umarov,2025-12-21,out,92,callback,70,close
C00204,L0025,Dilnoza Karimova,2025-09-21,out,190,refused,35,pitch
C00205,L0133,Lola Qodirova,2025-10-29,out,783,no_answer,10,pitch
C00206,L0804,Sherzod Nishonov,2026-05-15,in,738,interested,69,pitch
C00207,L0837,Lola Qodirova,2026-05-25,out,103,interested,89,needs
C00208,L1074,Farrux Ahmadov,2026-08-18,out,416,no_answer,17,opening
C00209,L0075,Jamshid Umarov,2025-10-02,out,394,callback,46,needs
C00210,L0162,Sherzod Nishonov,2025-11-23,out,608,interested,78,needs
C00211,L0101,Botir Nazarov,2025-10-13,out,297,refused,18,opening
C00212,L0006,Sardor Yusufov,2025-09-27,in,268,interested,61,pitch
C00213,L0283,Lola Qodirova,2026-01-14,out,817,refused,45,close
C00214,L0074,Diyora Rustamova,2025-09-30,in,42,callback,50,opening
C00215,L0504,Lola Qodirova,2026-03-01,in,627,interested,88,opening
C00216,L0413,Diyora Rustamova,2025-12-20,out,51,interested,85,pitch
C00217,L0255,Farrux Ahmadov,2026-01-17,in,653,interested,83,opening
C00218,L0970,Diyora Rustamova,2026-08-19,out,797,no_answer,15,pitch
C00219,L0505,Sherzod Nishonov,2026-03-03,out,861,interested,80,pitch
C00220,L0404,Jamshid Umarov,2026-01-03,in,547,callback,69,pitch
C00221,L1008,Sardor Yusufov,2026-06-10,out,369,enrolled,96,close
C00222,L0433,Lola Qodirova,2026-02-28,out,123,interested,78,needs
C00223,L0372,Sardor Yusufov,2026-02-05,in,173,refused,26,pitch
C00224,L0294,Sherzod Nishonov,2025-11-09,in,176,refused,27,opening
C00225,L0509,Sherzod Nishonov,2026-01-18,out,133,enrolled,70,pitch
C00226,L0986,Sherzod Nishonov,2026-08-03,out,100,callback,53,opening
C00227,L1148,Sardor Yusufov,2026-08-17,in,591,enrolled,63,pitch
C00228,L0923,Jamshid Umarov,2026-06-26,out,651,interested,72,opening
C00229,L0543,Sherzod Nishonov,2026-03-01,out,746,interested,85,close
C00230,L0222,Dilnoza Karimova,2025-11-24,out,140,callback,39,pitch
C00231,L1027,Farrux Ahmadov,2026-07-01,in,427,enrolled,80,pitch
C00232,L1025,Diyora Rustamova,2026-07-02,in,706,interested,65,needs
C00233,L0939,Jamshid Umarov,2026-05-19,out,331,callback,65,opening
C00234,L0066,Diyora Rustamova,2025-10-15,in,272,enrolled,83,close
C00235,L0432,Botir Nazarov,2026-01-09,in,183,enrolled,85,pitch
C00236,L0939,Sherzod Nishonov,2026-05-26,in,330,no_answer,9,opening
C00237,L0626,Sardor Yusufov,2026-02-08,out,551,callback,71,needs
C00238,L0814,Jamshid Umarov,2026-04-13,out,839,no_answer,10,opening
C00239,L0156,Dilnoza Karimova,2025-10-25,out,505,no_answer,20,needs
C00240,L0626,Sardor Yusufov,2026-03-24,out,585,refused,17,close
C00241,L0534,Sardor Yusufov,2026-03-09,in,528,no_answer,17,close
C00242,L1182,Diyora Rustamova,2026-08-28,out,535,interested,77,opening
C00243,L0533,Diyora Rustamova,2026-01-17,out,32,interested,92,opening
C00244,L0978,Lola Qodirova,2026-07-07,in,776,callback,59,needs
C00245,L0227,Sherzod Nishonov,2025-11-11,out,866,refused,20,opening
C00246,L1113,Lola Qodirova,2026-08-29,in,51,callback,75,needs
C00247,L0636,Sardor Yusufov,2026-03-07,in,179,enrolled,100,opening
C00248,L0306,Farrux Ahmadov,2025-12-06,out,70,refused,44,needs
C00249,L0375,Botir Nazarov,2026-02-20,out,149,interested,71,needs
C00250,L0882,Jamshid Umarov,2026-05-16,out,114,enrolled,100,close
C00251,L1173,Dilnoza Karimova,2026-08-24,in,832,no_answer,15,needs
C00252,L0228,Dilnoza Karimova,2025-12-02,in,401,refused,42,pitch
C00253,L0327,Farrux Ahmadov,2026-02-07,out,284,interested,77,opening
C00254,L0069,Sardor Yusufov,2025-10-08,in,489,refused,34,opening
C00255,L0941,Botir Nazarov,2026-06-02,in,277,interested,72,pitch
C00256,L0500,Lola Qodirova,2026-02-14,out,618,refused,16,needs
C00257,L0332,Sherzod Nishonov,2026-01-26,in,523,interested,79,close
C00258,L0359,Lola Qodirova,2025-12-14,out,347,enrolled,82,needs
C00259,L0091,Farrux Ahmadov,2025-10-11,out,508,interested,85,opening
C00260,L0287,Botir Nazarov,2025-12-28,out,849,refused,17,needs
C00261,L1115,Sardor Yusufov,2026-07-11,out,629,refused,20,opening
C00262,L1117,Farrux Ahmadov,2026-08-22,out,50,interested,75,close
C00263,L0181,Botir Nazarov,2025-12-05,out,229,enrolled,75,needs
C00264,L1060,Dilnoza Karimova,2026-08-23,in,64,callback,56,opening
C00265,L0594,Botir Nazarov,2026-02-04,out,498,refused,35,opening
C00266,L0758,Jamshid Umarov,2026-05-04,in,216,callback,48,opening
C00267,L0076,Jamshid Umarov,2025-11-09,in,594,interested,70,needs
C00268,L0819,Farrux Ahmadov,2026-06-01,out,737,refused,19,needs
C00269,L0379,Sardor Yusufov,2026-01-12,in,67,callback,67,opening
C00270,L0908,Lola Qodirova,2026-06-06,out,568,no_answer,4,pitch
C00271,L0458,Diyora Rustamova,2026-01-17,out,860,refused,26,opening
C00272,L0570,Jamshid Umarov,2026-03-04,in,44,refused,34,opening
C00273,L0481,Sardor Yusufov,2026-03-02,out,489,callback,37,opening
C00274,L0922,Jamshid Umarov,2026-06-15,in,799,enrolled,71,needs
C00275,L0362,Jamshid Umarov,2026-01-07,out,258,interested,80,close
C00276,L1109,Botir Nazarov,2026-08-13,out,887,interested,66,opening
C00277,L0499,Sherzod Nishonov,2026-02-13,in,777,enrolled,93,needs
C00278,L0622,Sherzod Nishonov,2026-04-12,out,698,refused,32,opening
C00279,L0630,Diyora Rustamova,2026-03-26,in,112,interested,57,opening
C00280,L0624,Sherzod Nishonov,2026-03-30,in,761,interested,83,pitch
C00281,L0402,Jamshid Umarov,2025-12-29,in,538,no_answer,22,needs
C00282,L0480,Botir Nazarov,2026-02-08,in,527,refused,20,opening
C00283,L1125,Sardor Yusufov,2026-08-27,out,653,callback,43,opening
C00284,L0358,Botir Nazarov,2026-01-27,out,154,enrolled,92,needs
C00285,L0877,Farrux Ahmadov,2026-06-21,out,752,refused,43,needs
C00286,L0849,Dilnoza Karimova,2026-05-02,in,314,no_answer,9,pitch
C00287,L0041,Sherzod Nishonov,2025-10-14,out,313,enrolled,91,needs
C00288,L1123,Sherzod Nishonov,2026-08-27,in,119,no_answer,38,pitch
C00289,L0943,Dilnoza Karimova,2026-06-21,in,386,interested,82,close
C00290,L1132,Farrux Ahmadov,2026-08-25,in,766,callback,43,pitch
C00291,L1085,Sardor Yusufov,2026-07-22,out,581,no_answer,26,opening
C00292,L0957,Farrux Ahmadov,2026-05-17,out,223,interested,75,opening
C00293,L0097,Sherzod Nishonov,2025-11-09,in,272,interested,72,needs
C00294,L1075,Diyora Rustamova,2026-08-24,in,743,callback,66,needs
C00295,L0524,Lola Qodirova,2026-01-18,out,616,no_answer,20,needs
C00296,L0254,Farrux Ahmadov,2025-11-21,out,700,interested,74,needs
C00297,L0243,Diyora Rustamova,2026-01-01,out,376,no_answer,25,pitch
C00298,L0166,Sardor Yusufov,2025-12-05,out,318,interested,89,pitch
C00299,L0694,Jamshid Umarov,2026-04-05,out,207,enrolled,80,needs
C00300,L1062,Sherzod Nishonov,2026-08-10,out,699,refused,16,opening
