lead_id,full_name,phone,source,interest_course,branch,assigned_to,created_date,status
L0001,Islom Yusupov,+998339508748,instagram,SMM,Yunusobod,Yulduz Xudoyberdiova,2025-09-09,new
L0002,Alisher Nishonov,+998989882944,instagram,Ingliz tili,Sergeli,Diyor Yusupov,2025-09-03,trial
L0003,Dilnoza Sattorova,+998958699277,telegram,Data Science,Yunusobod,Akmal Yusufov,2025-09-22,trial
L0004,Kamola Ergashova,+998904628906,instagram,Data Science,Sergeli,Sanjar Xolmatov,2025-09-30,contacted
L0005,Shoxrux Sattorov,+998984196960,telegram,Data Science,Sergeli,Farrux Jo'raov,2025-09-14,enrolled
L0006,Ravshan Yusupov,+998983392393,facebook,Backend,Yunusobod,Diyor Islomov,2025-09-14,contacted
L0007,Jamshid Toshpulatov,+998883146197,walk_in,Data Science,Chilonzor,Diyor Islomov,2025-09-23,trial
L0008,Nodir Nazarov,+998334742808,google,Grafik Dizayn,Yunusobod,Diyor Islomov,2025-09-25,lost
L0009,Elyor Xudoyberdiov,+998552601212,referral,Data Science,Chilonzor,Yulduz Xudoyberdiova,2025-09-16,trial
L0010,Sardor Sharipov,+998917835110,instagram,Backend,Sergeli,Yulduz Xudoyberdiova,2025-09-28,contacted
L0011,Alisher Qodirov,+998974466509,telegram,Data Science,Chilonzor,Diyor Islomov,2025-09-11,contacted
L0012,Islom Abdullaov,+998556395472,google,Ingliz tili,Chilonzor,Diyor Yusupov,2025-09-03,new
L0013,Malika G'aniova,+998907882809,walk_in,AI Asoslari,Sergeli,Sirojiddin Xolmatov,2025-09-24,contacted
L0014,Nargiza G'aniova,+998941612598,instagram,Ingliz tili,Sergeli,Akmal Yusufov,2025-09-14,enrolled
L0015,Shahnoza Ahmadova,+998911307614,walk_in,SMM,Sergeli,Lola Rustamova,2025-09-14,new
L0016,Jasur G'aniov,+998949809683,instagram,Data Science,Yunusobod,Farrux Jo'raov,2025-09-19,lost
L0017,Ravshan Mirzaov,+998908914704,instagram,Ingliz tili,Sergeli,Akmal Yusufov,2025-09-14,contacted
L0018,Gulchehra Yusupova,+998975209536,referral,Backend,Chilonzor,Sirojiddin Xolmatov,2025-09-13,contacted
L0019,Jamshid Mirzaov,+998978415210,instagram,Grafik Dizayn,Sergeli,Yulduz Xudoyberdiova,2025-09-24,trial
L0020,Aziza Rustamova,+998919339218,instagram,AI Asoslari,Chilonzor,Lola Rustamova,2025-09-24,lost
L0021,Gulnora Yusufova,+998882036674,referral,Data Science,Sergeli,Diyor Islomov,2025-09-10,contacted
L0022,Elyor Karimov,+998905579526,instagram,AI Asoslari,Chilonzor,Sanjar Xolmatov,2025-09-02,trial
L0023,Farrux Hoshimov,+998942673769,telegram,Frontend,Yunusobod,Diyor Islomov,2025-09-12,lost
L0024,Sherzod Boltaov,+998917493759,telegram,Ingliz tili,Chilonzor,Lola Rustamova,2025-09-22,trial
L0025,Alisher Rashidov,+998772026172,google,Grafik Dizayn,Sergeli,Diyor Islomov,2025-09-08,lost
L0026,Lola Nishonova,+998953769527,facebook,Backend,Sergeli,Diyor Islomov,2025-09-10,contacted
L0027,Sabina Yusupova,+998916883573,telegram,Grafik Dizayn,Yunusobod,Farrux Jo'raov,2025-09-15,new
L0028,Barno Qodirova,+998775393574,telegram,Frontend,Sergeli,Diyor Islomov,2025-09-03,lost
L0029,Aziza Yusupova,+998974319905,instagram,Grafik Dizayn,Yunusobod,Sirojiddin Xolmatov,2025-09-27,contacted
L0030,Nodir Yoqubov,+998953200306,referral,Data Science,Sergeli,Lola Rustamova,2025-09-06,contacted
L0031,Farrux Sharipov,+998945697820,facebook,Ingliz tili,Sergeli,Diyor Islomov,2025-09-01,trial
L0032,Mehriniso Xudoyberdiova,+998888204232,instagram,AI Asoslari,Yunusobod,Diyor Yusupov,2025-09-02,trial
L0033,Abdulloh Ibrohimov,+998907510881,facebook,Grafik Dizayn,Yunusobod,Akmal Yusufov,2025-09-01,enrolled
L0034,Aziza Ibrohimova,+998771403777,referral,Frontend,Sergeli,Sirojiddin Xolmatov,2025-09-19,enrolled
L0035,Yulduz Mirzaova,+998902692937,telegram,Grafik Dizayn,Sergeli,Diyor Islomov,2025-09-05,enrolled
L0036,Zafar Boltaov,+998551749407,telegram,Backend,Chilonzor,Akmal Yusufov,2025-09-07,new
